Latitude,Longitude,name,styleUrl,styleHash,styleMapHash,description,ID,FacebookID,Name,Flag,FbURL,TwitterURL,InstaURL,Email,Region,Lat,Lng,gx_media_links
52.392468,4.902649,Bont voor Dieren,,,,https://www.facebook.com/bontvoordieren/ ,,,,,,,,,,,,
48.833199,2.334358,Boucherie Abolition,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/BoucherieAbolition/events/?ref=page_internal,,,,,,,,,,,,
50.82565,-0.152667,Brighton Animal Rights,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/112591444650/,,,,,,,,,,,,
50.829542,-0.136866,Brighton Animal Rights Collective,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/brightonveganactivists/events/?ref=page_internal,,,,,,,,,,,,
50.818593,-0.12682,Brighton Vegan Outreach,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Brighton-Vegan-Outreach-1009905642518452/events/?ref=page_internal,,,,,,,,,,,,
42.682309,23.318481,Bulgarian Vegan Union,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/bvu.bg,,,,,,,,,,,,
51.844634,8.297211,Bündnis gegen die Tönnies-Erweiterung,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/B%C3%BCndnis-gegen-die-T%C3%B6nnies-Erweiterung-222066221634817/events/?ref=page_internal,,,,,,,,,,,,
40.19945,29.065533,Bursa Vegan İnisiyatifi,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/BursaVegan/,,,,,,,,,,,,
42.702749,23.332386,Caai,,,,https://www.facebook.com/caai.bg/,,,,,,,,,,,,
-34.892962,-56.195126,CALA - Centro Antiespecista por la Liberación Animal -,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/calamontevideo/events/?ref=page_internal,,,,,,,,,,,,
51.053925,-114.102268,Calgary Animal Rights Effort,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/careyyc/,,,,,,,,,,,,
47.599045,-122.334995,Campus Animal Rights Educators - CARE,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/UWCARE/events/?ref=page_internal,,,,,,,,,,,,
-33.920287,18.517799,Cape Town Animal Liberation,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/656999561008741/events,,,,,,,,,,,,
1.319616,103.786469,Centre for a responsible future,,,,https://www.crf.org.sg/,,,,,,,,,,,,
41.896655,-87.662659,Chicago Animal Rights March,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/ChicagoAnimalRightsMarch,,,,,,,,,,,,
